name,startRAh,startRAm,endRAh,endRAm,startDecd,startDecm,endDecd,endDecm,date
663,8,9,9,28,108,7,112,2,12-24-1786
664,9,40,12,26,112,43,115,8,12-24-1786
665,4,7,4,30,58,36,61,19,12-25-1786
666,4,47,5,51,80,0,82,15,12-26-1786
667,6,5,7,40,86,2,88,11,12-26-1786
668,5,57,8,8,87,37,89,55,12-27-1786
669,8,14,8,50,86,8,88,29,12-27-1786
670,8,57,9,49,85,26,87,48,12-27-1786
671,10,55,12,20,66,23,68,40,12-27-1786
672,9,16,9,49,82,22,84,23,12-29-1786
673,10,4,11,22,82,24,84,14,12-29-1786
674,11,46,12,45,91,30,93,42,12-29-1786
675a,10,29,10,58,82,29,84,42,12-30-1786
675b,10,58,11,49,82,29,84,42,12-30-1786
676,0,56,1,45,66,2,68,17,1-7-1787
677,2,3,2,37,66,5,68,19,1-7-1787
678,2,38,3,26,68,21,70,19,1-7-1787
680,1,20,2,28,59,29,61,54,1-11-1787
681,2,46,4,22,74,8,76,23,1-11-1787
682,5,23,6,37,78,5,80,10,1-11-1787
683b,8,2,8,28,65,51,68,1,1-11-1787
684a,8,46,9,11,95,57,97,42,1-11-1787
684b,9,11,9,38,95,57,97,22,1-11-1787
686,1,45,3,5,116,2,118,14,1-12-1787
687,3,26,4,46,80,1,82,14,1-12-1787
688,6,46,7,43,67,52,70,13,1-14-1787
689,8,50,9,17,61,55,64,25,1-14-1787
690,9,42,10,21,71,47,73,55,1-14-1787
691,10,35,13,7,73,16,75,28,1-14-1787
692,1,55,2,40,52,16,54,44,1-17-1787
693,4,25,6,5,52,23,54,47,1-17-1787
694,7,8,7,41,67,5,69,10,1-17-1787
695,8,54,10,7,51,5,53,25,1-17-1787
697,7,24,8,10,65,48,68,8,2-10-1787
698,7,27,8,46,67,58,70,12,2-13-1787
699,11,31,13,32,66,13,68,35,2-13-1787
700,14,1,15,3,118,5,120,17,2-13-1787
701,11,16,11,54,102,53,105,6,2-19-1787
703,8,12,8,57,63,52,66,2,2-22-1787
704,9,25,10,8,95,56,98,13,2-22-1787
705,10,47,11,33,95,55,98,12,2-22-1787
706,12,2,14,53,92,58,95,8,2-24-1787
707,7,59,9,12,97,25,99,28,3-7-1787
708a,8,27,9,43,113,41,115,54,3-8-1787
708b,9,46,10,25,111,35,113,48,3-8-1787
709,11,30,13,4,91,22,93,38,3-11-1787
710,9,35,11,35,118,30,120,46,3-15-1787
711,12,12,14,5,118,29,120,45,3-15-1787
712,15,20,16,14,120,30,122,43,3-15-1787
713,9,39,10,40,49,36,52,8,3-17-1787
714a,11,38,12,48,49,33,52,5,3-17-1787
714b,12,48,13,40,49,41,52,13,3-17-1787
715,14,31,16,22,49,36,52,8,3-17-1787
716,8,22,10,49,47,22,49,56,3-18-1787
717,11,38,13,38,47,17,49,51,3-18-1787
718,14,25,16,23,47,10,49,44,3-18-1787
719,10,8,11,59,51,25,53,40,3-19-1787
720,12,51,15,54,73,21,75,30,3-19-1787
721,8,2,9,48,49,19,51,54,3-20-1787
722a,11,6,12,46,55,18,57,36,3-20-1787
722b,12,46,14,15,55,39,57,57,3-20-1787
723,15,11,16,8,69,38,71,50,3-20-1787
725,12,24,15,15,44,59,48,8,4-9-1787
726,11,52,13,31,88,39,90,52,4-11-1787
727,14,26,15,24,88,37,90,50,4-11-1787
728,15,36,16,32,94,25,96,42,4-11-1787
729,12,25,13,46,90,10,92,20,4-15-1787
730,13,48,14,53,91,9,93,18,4-15-1787
731,15,57,16,49,85,6,87,23,4-15-1787
732a,13,2,14,25,104,55,107,7,5-7-1787
732b,14,25,15,29,104,49,107,1,5-7-1787
733,13,21,15,28,42,33,45,29,4-11-1787
734,13,9,15,24,40,6,43,15,5-12-1787
735,15,58,17,27,39,57,43,6,5-12-1787
736,13,37,15,22,37,49,40,51,5-15-1787
737,16,10,16,36,37,46,40,48,5-15-1787
738,13,23,14,40,49,45,52,26,5-16-1787
739,15,54,17,37,52,13,54,47,5-16-1787
741a,14,13,15,20,106,52,109,5,5-19-1787
741b,15,20,16,28,107,21,109,34,5-19-1787
742,15,50,16,36,97,48,100,4,5-6-1787
743,15,42,17,0,103,24,105,38,5-7-1787
744,16,8,17,47,75,16,77,31,5-9-1787
745,16,44,18,3,77,18,79,27,5-10-1787
746,16,44,17,25,47,7,49,46,5-11-1787
748,18,15,19,26,99,20,101,27,5-10-1787,40 feet Telescope
749,19,25,20,10,103,49,106,4,8-8-1787
750,21,37,21,57,103,49,106,4,8-12-1787
752,19,56,20,45,68,18,70,26,8-19-1787
754,21,50,23,17,109,53,112,11,9-11-1787
756,0,7,0,42,93,43,95,57,9-11-1787
757,23,30,2,58,9,53,13,57,9-16-1787
758a,23,8,23,36,9,48,13,52,9-17-1787
758b,23,26,0,0,9,48,14,18,9-17-1787
760,21,54,0,12,13,32,18,18,9-19-1787
761,1,0,3,12,13,32,18,18,9-19-1787
762,21,36,23,17,9,42,14,11,10-10-1787
763,2,7,4,10,5,49,10,13,10-10-1787
764,0,37,3,41,18,0,22,28,10-11-1787
765,20,27,23,28,35,14,38,46,10-14-1787
766,0,22,3,23,35,16,38,41,10-14-1787
767,20,39,20,57,31,52,35,30,10-15-1787
768,20,24,22,12,31,50,35,28,10-16-1787
769,23,21,1,9,32,12,36,1,10-18-1787
771a,2,12,2,37,31,53,35,46,10-20-1787
771b,3,31,4,36,31,53,35,46,10-20-1787
773,21,55,23,29,28,19,32,19,11-3-1787
774,0,37,4,50,28,19,32,19,11-3-1787
775,21,40,21,57,24,53,29,7,11-5-1787
776,21,31,23,4,24,55,29,10,11-9-1787
777,0,9,3,14,24,56,29,11,11-9-1787
778,3,40,4,27,116,2,118,26,11-10-1787
780a,23,22,23,40,38,21,41,18,11-12-1787
780b,0,38,3,18,38,21,41,18,11-12-1787
781,4,47,5,59,38,23,41,20,11-12-1787
782,4,10,5,5,96,39,98,39,11-18-1787
783,7,21,8,4,97,50,99,50,11-20-1787
786,0,8,3,33,40,25,43,45,11-30-1787
787,23,4,0,14,40,23,43,41,12-3-1787
788,0,46,1,21,87,21,89,38,12-3-1787
789,2,51,4,3,50,17,52,57,12-3-1787
790,4,8,4,26,52,8,54,38,12-3-1787
791,5,47,6,15,58,31,61,6,12-3-1787
794,23,10,0,13,55,32,57,57,12-13-1787
797,8,34,10,11,45,7,47,37,1-14-1788
798,11,3,12,32,45,10,47,40,1-14-1788
799,13,19,13,54,47,49,50,10,1-14-1788
800a,8,42,9,50,42,54,45,46,1-15-1788
800b,9,57,10,53,42,54,45,46,1-15-1788
801a,3,18,3,59,45,20,48,9,2-3-1788
801b,4,9,4,19,45,20,48,9,2-3-1788
802,4,48,5,55,48,8,50,46,2-3-1788
803,7,42,8,24,51,46,54,22,2-3-1788
804,10,7,11,9,45,3,48,4,2-3-1788
805,11,29,12,51,57,30,60,9,2-3-1788
806a,13,19,14,40,114,13,116,28,2-3-1788
806b,14,40,14,53,113,13,115,28,2-3-1788
807a,6,20,6,29,54,4,56,39,2-5-1788
807b,7,9,8,46,54,4,56,39,2-5-1788
808,9,42,11,47,40,35,43,37,2-5-1788
809,7,41,9,49,40,38,43,48,2-6-1788
810,10,52,12,12,43,11,45,34,2-6-1788
812,10,42,11,45,46,46,49,35,3-3-1788
813a,6,7,6,54,47,7,49,56,3-4-1788
813b,6,54,7,8,47,16,50,5,3-4-1788
815,6,49,9,49,38,18,41,28,3-9-1788
816,10,37,12,53,38,16,41,26,3-9-1788
817,7,10,8,41,43,11,46,10,3-10-1788
818,12,11,13,8,99,39,101,50,3-10-1788
819,12,11,13,18,99,39,101,50,3-11-1788
820,13,29,14,19,106,51,108,59,3-11-1788
821,15,3,16,10,101,21,103,28,3-11-1788
822,10,12,11,7,38,25,41,27,4-1-1788
823,11,44,12,51,41,14,43,44,4-1-1788
824,9,43,10,30,38,17,41,18,4-8-1788
825,11,1,12,16,99,35,101,42,4-8-1788
826,12,32,13,15,106,58,109,25,4-8-1788
827,13,42,15,16,71,32,73,44,4-8-1788
828,13,8,14,36,88,27,90,33,4-9-1788
829,15,41,16,0,42,29,45,23,4-9-1788
830a,11,25,11,31,41,10,44,8,4-10-1788
830b,11,54,12,41,41,5,44,3,4-10-1788
831,14,42,17,3,45,23,47,51,4-12-1788
832,15,20,17,4,38,35,41,38,4-13-1788
833,12,3,13,38,41,59,45,19,4-27-1788
834,12,3,13,38,41,59,45,19,4-27-1788
835,14,40,16,38,68,3,70,9,4-28-1788
836,12,28,13,39,38,36,42,24,4-29-1788
837,13,43,14,34,47,54,50,30,4-29-1788
838,15,52,17,1,42,41,45,47,4-29-1788
839,14,37,15,49,103,28,105,43,4-30-1788
840a,13,29,13,50,35,7,38,53,5-1-1788
840b,13,50,14,3,35,7,38,19,5-1-1788
840c,14,3,16,48,35,12,38,24,5-1-1788
842,14,37,15,49,31,37,35,30,5-5-1788
843,14,54,16,5,28,9,32,11,5-25-1788
844,15,29,17,9,24,32,28,34,6-2-1788
845,15,36,16,52,20,6,24,32,6-3-1788
847,16,1,17,47,15,41,20,14,6-6-1788
848,16,37,17,45,35,19,38,33,6-9-1788
850,18,17,20,7,81,51,84,11,7-30-1788
852a,18,56,19,33,97,23,99,42,8-4-1788
852b,19,33,20,25,97,54,100,13,8-4-1788
852c,20,25,21,16,97,41,100,0,8-4-1788
853,18,44,19,32,103,57,106,12,8-5-1788
855,19,54,20,42,94,48,97,8,9-1-1788
856,20,19,21,56,109,25,111,38,9-3-1788
857,23,15,0,4,109,49,111,54,9-8-1788
858,1,10,2,27,43,16,45,31,9-9-1788
860,20,54,21,34,38,12,41,14,9-21-1788
861,22,11,22,56,38,17,41,17,9-24-1788
862,20,25,21,1,38,25,41,18,9-26-1788
863,21,35,22,17,38,22,41,15,9-26-1788
864,22,54,0,5,43,16,45,42,9-26-1788
865,0,29,1,16,82,45,84,34,9-26-1788
866,19,51,21,47,40,56,43,56,9-27-1788
867,20,22,20,59,43,32,46,15,10-18-1788
868,20,54,22,5,43,32,46,10,10-19-1788
869a,20,38,21,38,101,32,104,1,10-24-1788
869b,21,53,22,6,101,32,104,1,10-24-1788
870,21,32,23,9,40,51,44,1,10-28-1788
871a,23,33,23,40,38,18,41,41,10-28-1788
871b,23,53,0,46,38,18,41,41,10-28-1788
872,21,43,22,54,43,22,45,52,10-30-1788
873a,22,56,23,30,38,21,41,47,10-30-1788
873b,23,36,23,57,38,21,41,47,10-30-1788
874,21,1,21,59,28,55,32,9,10-30-1788
876,22,10,23,26,32,17,35,47,11-1-1788
877,1,0,2,16,32,3,35,33,11-1-1788
878,2,33,4,37,22,21,25,13,11-1-1788
879,5,30,8,12,22,23,25,15,11-1-1788
880,0,8,2,38,22,27,25,17,11-4-1788
881,3,3,4,44,25,1,28,31,11-4-1788
883,22,24,0,12,22,1,26,37,11-23-1788
884a,3,31,3,53,18,25,22,22,11-23-1788
884b,3,56,4,4,18,25,22,22,11-23-1788
885,22,23,23,51,19,25,23,27,11-24-1788
886a,22,1,22,16,18,3,22,32,11-25-1788
886b,22,16,0,39,18,6,23,10,11-25-1788
887a,22,57,23,45,26,22,30,28,11-26-1788
887b,23,50,23,57,26,22,30,28,11-26-1788
887c,0,6,0,42,26,22,30,28,11-26-1788
888,4,46,7,14,18,31,22,29,11-29-1788
889,3,52,4,22,18,14,22,29,12-3-1788
890,8,40,9,26,16,52,21,2,12-3-1788
891,10,4,10,48,17,11,21,2,12-3-1788
892,23,22,0,45,29,54,32,37,12-16-1788
893a,23,25,23,57,35,15,38,35,12-17-1788
893b,0,1,0,26,35,15,38,35,12-17-1788
894,3,10,4,22,35,25,38,45,12-18-1788
895,23,29,0,1,65,47,68,8,12-20-1788
896,0,50,1,20,98,51,100,59,12-20-1788
897,5,5,7,49,41,10,43,51,12-21-1788
899,4,17,4,54,54,21,56,37,12-27-1788
900,5,36,5,44,49,27,52,13,12-29-1788
901,5,40,8,28,49,31,52,17,12-31-1788
902,9,27,10,10,51,0,53,24,12-31-1788
903,10,14,10,45,49,17,52,6,12-31-1788
904,4,9,4,37,56,22,58,39,1-20-1789
905,2,48,4,8,56,11,58,23,1-25-1789
906a,6,41,6,58,69,28,71,43,2-22-1789
906b,7,9,7,16,69,28,71,43,2-22-1789
906c,7,39,7,50,69,28,71,43,2-22-1789
906d,7,54,8,1,69,28,71,43,2-22-1789
907,8,7,8,22,68,46,71,8,2-22-1789
908,9,5,9,35,51,26,54,11,2-22-1789
909a,10,17,10,59,57,26,60,0,2-22-1789
909b,11,4,11,31,57,12,59,46,2-22-1789
911,11,43,12,29,114,7,116,20,2-24-1789
912,9,51,11,22,92,26,94,19,3-20-1789
913a,11,51,12,38,94,42,96,46,3-20-1789
913b,12,47,12,50,94,42,96,46,3-20-1789
913c,12,57,13,22,94,42,96,46,3-20-1789
914,13,34,14,7,89,53,92,1,3-20-1789
915,10,35,11,56,49,9,51,43,3-23-1789
916,12,21,13,0,94,50,96,57,3-23-1789
917,13,58,14,43,90,17,92,30,3-23-1789
918,12,15,13,43,111,14,113,28,3-26-1789
919,9,51,11,30,35,25,38,49,4-12-1789
920,10,47,12,6,32,26,35,59,4-14-1789
921,12,31,14,9,32,26,35,59,4-14-1789
922,10,38,11,1,32,32,36,7,4-17-1789
923,11,51,12,33,28,51,32,36,4-17-1789
924a,13,23,13,35,28,51,32,36,4-17-1789
924b,13,23,13,35,28,51,32,36,4-17-1789
925,10,58,11,2,32,42,36,17,4-24-1789
926a,12,19,12,37,29,9,32,59,4-24-1789
926b,13,9,13,34,28,58,32,48,4-24-1789
926c,13,39,13,52,28,58,32,48,4-24-1789
926d,14,0,14,8,28,58,32,48,4-24-1789
927,14,20,14,54,32,26,36,2,4-24-1789
928,15,48,17,16,31,53,35,23,4-24-1789
929,11,51,13,35,35,42,39,7,4-26-1789
930,14,44,15,45,25,58,28,58,4-26-1789
931,13,52,15,5,22,15,26,10,5-14-1789
932,18,21,19,26,68,4,70,22,7-18-1789
933,9,19,12,0,120,30,122,52,2-17-1790
934,6,46,9,7,106,37,108,39,3-4-1790
935a,6,54,7,54,89,42,91,52,3-5-1790
935b,7,54,8,31,89,42,92,4,3-5-1790
936,10,37,11,19,107,3,109,3,3-8-1790
937,6,50,7,48,51,48,54,24,3-10-1790
938,8,16,9,10,51,45,54,24,3-10-1790
939,11,22,11,59,114,51,117,7,3-10-1790
940,12,22,13,37,113,32,115,55,3-10-1790
941,7,50,9,11,115,33,117,52,3-14-1790
942,7,32,8,44,55,17,57,47,3-16-1790
943,10,50,11,14,57,39,60,13,3-16-1790
944,12,3,12,53,67,45,69,59,3-16-1790
945,7,25,9,57,35,28,38,30,3-17-1790
946,11,24,11,50,35,41,38,42,3-17-1790
949,7,41,9,2,32,14,36,8,3-18-1790
950,10,0,10,47,32,9,36,3,3-18-1790
951,11,8,12,6,28,14,32,42,3-18-1790
952,8,43,9,44,28,43,32,37,3-19-1790
953,11,4,14,49,26,8,29,33,3-19-1790
954,11,10,13,53,22,30,26,15,3-20-1790
955,8,56,10,6,32,21,35,39,4-1-1790
958,19,28,20,30,35,30,38,58,9-7-1790
959,19,31,20,55,45,32,48,10,9-11-1790
960,20,3,21,21,38,14,41,26,9-30-1790
961,21,54,22,27,44,48,47,41,9-30-1790
962a,20,10,20,21,88,54,91,9,10-1-1790
962b,20,21,21,0,86,54,89,9,10-1-1790
963,20,34,21,30,66,4,68,28,10-3-1790
964a,22,24,22,23,45,27,48,2,10-3-1790
964b,22,33,23,29,45,36,48,11,10-3-1790
967,20,33,20,54,90,9,91,17,10-6-1790
969a,20,0,20,13,43,51,46,49,10-9-1790
969b,20,13,20,34,43,39,46,50,10-9-1790
970a,21,5,21,37,70,27,72,37,10-9-1790
970b,21,37,21,42,70,27,72,52,10-9-1790
970c,21,42,21,47,70,27,72,37,10-9-1790
971,23,14,23,52,57,48,60,14,10-9-1790
972,1,52,4,10,119,39,121,59,10-9-1790
973,21,34,21,59,91,37,93,40,10-10-1790
974,20,49,21,29,87,28,89,34,10-10-1790
975,23,14,0,12,57,54,60,30,11-2-1790
976,2,58,3,56,62,14,64,31,11-2-1790
977,21,49,22,29,48,10,50,39,11-8-1790
978,22,38,22,56,50,20,52,45,11-8-1790
979,23,24,24,21,52,40,55,8,11-8-1790
980a,3,25,4,29,58,13,60,13,11-13-1790
980b,4,29,5,54,58,13,60,53,11-13-1790
981a,23,8,0,5,55,30,58,0,11-26-1790
981b,0,5,0,19,55,10,58,0,11-26-1790
983,0,1,0,41,62,13,64,37,12-2-1790
984,23,43,0,18,85,35,87,37,12-6-1790
985,23,41,0,36,87,7,89,11,12-25-1790
986,1,13,1,42,82,29,84,31,12-25-1790
987,2,42,3,20,72,3,74,18,12-25-1790
988,0,12,0,36,89,7,91,11,12-28-1790
989,3,10,4,42,38,25,41,2,12-28-1790
990,6,13,7,6,38,29,41,13,12-28-1790
991,0,10,0,39,82,19,84,19,12-29-1790
993,5,46,6,56,52,18,54,53,1-3-1790
994,5,41,7,5,119,28,121,48,1-9-1790
995,7,46,8,39,99,11,101,15,2-23-1790
996a,5,11,6,23,43,33,46,26,2-24-1790
996b,6,23,6,40,43,33,46,26,2-24-1790
996c,6,40,7,15,43,33,46,26,2-24-1790
997,9,56,10,41,101,18,103,20,3-7-1790
998,11,14,12,33,116,44,119,0,3-7-1790
999,10,21,12,13,118,45,121,1,3-24-1791
1000,8,48,10,0,24,57,28,43,4-2-1791
1001,12,0,12,41,33,5,36,3,4-2-1791
1002,12,56,13,19,35,41,38,51,4-2-1791
1003,13,49,14,23,32,19,35,23,4-2-1791
1004,8,53,11,14,22,35,25,25,4-3-1791
1005,13,12,16,12,16,50,19,50,5-6-1791
1006,14,28,15,20,69,33,71,49,5-24-1791
1007,16,2,17,31,69,28,71,46,5-24-1791
1008a,13,58,14,27,108,56,111,23,5-25-1791
1008b,14,27,14,49,108,56,111,23,5-25-1791
1009,15,0,15,52,111,24,113,37,5-25-1791
1010,16,41,17,33,93,29,95,31,5-25-1791
1011,14,36,15,23,74,41,76,45,5-26-1791
1012,15,59,16,50,77,23,79,29,5-26-1791
1013,16,1,17,22,56,30,58,53,5-27-1791
1014,15,42,17,53,54,20,56,48,5-28-1791
1015,16,10,17,9,49,45,52,20,5-30-1791
1016,20,4,21,0,116,7,118,21,8-2-1791
1017,18,38,20,2,84,10,86,20,8-21-1791
1018,18,50,19,53,79,26,82,1,8-25-1791
1019,19,16,19,59,95,23,97,58,8-29-1791
1020,12,45,14,7,76,51,78,55,4-11-1792
1021,13,23,14,34,68,15,70,24,4-20-1792
1022,21,7,21,44,81,7,83,9,8-14-1792
1024,19,12,20,27,72,34,75,9,8-22-1792
1025,19,17,19,47,67,57,70,23,8-23-1792
1026,20,5,20,43,66,13,68,43,9-11-1792
1027,19,37,20,36,50,37,52,39,9-15-1792
1028,19,36,20,41,33,5,35,31,9-16-1792
1029,5,22,6,13,54,3,56,31,2-3-1793
1030,4,57,5,25,54,18,56,45,2-4-1793
1031,6,12,7,15,54,18,56,45,2-4-1793
1032,8,0,8,44,114,34,119,50,3-3-1793
1033a,7,54,9,9,117,46,120,2,3-4-1793
1033b,9,9,9,41,118,18,120,34,3-4-1793
1034,7,16,8,23,102,47,104,59,3-8-1793
1035,9,48,10,17,99,34,101,36,4-3-1793
1036,10,22,12,52,19,28,22,18,4-6-1793
1037,11,31,13,20,16,51,19,46,4-7-1793
1038a,9,36,11,0,29,53,32,46,4-8-1793
1038b,11,4,11,16,29,53,32,46,4-8-1793
1039,9,38,11,24,27,34,30,27,4-9-1793
1041,12,20,12,47,116,18,118,36,5-5-1793
1042,13,12,14,27,81,36,83,46,5-12-1793
1043,16,2,17,40,101,45,103,51,5-12-1793
1044,13,18,14,10,86,54,88,56,5-13-1793
1047,18,53,19,25,62,26,64,56,8-25-1793
1048,19,3,19,30,109,45,111,55,8-27-1793
1049,19,17,19,46,38,36,41,22,9-6-1793
1050,21,44,22,44,105,58,108,2,9-6-1793
1051,19,47,20,23,89,20,91,30,9-26-1793
1052,21,30,22,1,101,40,103,55,9-26-1793
1053a,19,57,20,35,121,18,123,40,9-27-1793
1053b,20,35,21,52,121,26,123,48,9-27-1793
1054,21,50,22,9,93,16,95,21,9-28-1793
1056,19,53,20,49,96,26,98,26,10-5-1793
1057,3,2,4,26,53,55,56,18,1-2-1794
1058,10,58,11,26,102,59,105,14,4-19-1794
1062,20,48,21,43,26,40,29,27,10-15-1794
1063,20,44,22,30,21,45,25,13,10-18-1794
1064,12,29,13,45,11,26,14,54,11-22-1797
1065,12,53,13,29,11,40,15,25,12-9-1797
1066a,12,12,13,7,11,49,15,26,12-10-1797
1066b,13,39,14,6,11,38,15,15,12-10-1797
1066c,14,10,14,29,11,41,15,18,12-10-1797
1067a,15,25,16,2,11,24,15,8,12-10-1797
1067b,16,16,16,52,11,24,15,8,12-10-1797
1068,11,25,12,24,11,40,15,12,12-12-1797
1069,13,50,14,15,11,39,15,12,12-12-1797
1070,14,22,15,27,11,37,15,10,12-12-1797
1071a,16,41,16,49,11,26,15,2,12-12-1797
1071b,16,49,18,7,11,55,15,31,12-12-1797
1074,11,54,14,54,9,7,12,42,12-20-1797
1075,16,23,17,55,8,56,12,31,12-20-1797
1076,19,3,20,16,115,20,117,40,9-5-1798
1077,19,21,21,6,29,15,33,15,9-9-1798
1078a,19,43,20,40,25,12,29,27,9-13-1798
1078b,20,40,21,6,25,5,29,27,9-13-1798
1079,20,55,21,41,23,37,27,20,9-16-1798
1080,20,2,21,21,17,51,22,14,10-2-1798
1081,21,16,22,6,17,41,22,4,10-7-1798
1082,0,0,1,6,13,48,18,10,10-7-1798
1083a,20,24,20,47,13,22,17,48,10-12-1798
1083b,21,17,22,3,13,27,17,53,10-12-1798
1084b,0,1,1,56,119,41,122,5,12-9-1798
1085,4,17,5,11,80,57,82,57,12-9-1798
1086,23,56,0,45,99,29,101,33,12-10-1798
1087,2,36,3,18,100,24,102,35,12-10-1798
1088,5,47,6,56,100,55,103,2,12-10-1798
1089,6,33,7,27,108,7,110,8,1-30-1799
1090,17,23,18,29,71,41,73,53,6-29-1799
1091a,2,44,2,51,110,52,112,52,12-19-1799
1091b,2,59,3,30,110,52,112,52,12-19-1799
1091c,3,36,3,56,110,42,112,42,12-19-1799
1093a,4,24,5,20,73,20,75,45,1-21-1800
1093b,5,20,5,59,73,7,75,32,1-21-1800
1094a,2,30,2,47,52,38,54,43,1-14-1801
1094b,2,57,3,55,52,38,54,43,1-14-1801
1095,7,19,8,52,108,0,110,11,3-15-1801
1098,10,8,10,50,81,40,83,47,4-12-1801
1107,14,2,15,28,57,14,59,36,5-21-1802
1108,17,39,18,5,99,30,101,59,6-21-1802
1109,17,51,19,0,49,35,52,1,6-26-1802
1110,19,51,21,23,91,19,93,25,9-25-1802